id,Название,Цена,Цена_со_скидкой,Ссылка на товар
3572639,Развивающий конструктор BAUER Сlassic 578 элементов,5272,2899,https://www.detmir.ru/product/index/id/3572639/
2404011,Конструктор SLUBAN Розовая мечта Кафе (M38-B0155),559,359,https://www.detmir.ru/product/index/id/2404011/
3366409,Конструктор BAUER Весёлые горки 583,1399,1089,https://www.detmir.ru/product/index/id/3366409/
3308190,Конструктор Mega Construx Пожарная машина GLK54,None,1399,https://www.detmir.ru/product/index/id/3308190/
2617681,Миниконструктор SLUBAN Стройка M38-B0592,199,129,https://www.detmir.ru/product/index/id/2617681/
3294118,Конструктор BAUER Пожарная вышка 143детали,1599,841,https://www.detmir.ru/product/index/id/3294118/
2867681,Конструктор SLUBAN Грузовой самолет,2779,1999,https://www.detmir.ru/product/index/id/2867681/
4922775,Конструктор BalaToys My World 504 детали,3000,1800,https://www.detmir.ru/product/index/id/4922775/
4803813,Конструктор My World BalaToys Minecraft 3в1 Пляжный домик 429 деталей,3000,1500,https://www.detmir.ru/product/index/id/4803813/
3119815,Конструктор SLUBAN Внедорожник 1 149деталей M38-B0663A,779,599,https://www.detmir.ru/product/index/id/3119815/
2617691,Миниконструктор SLUBAN Пожарные M38-B0593,199,129,https://www.detmir.ru/product/index/id/2617691/
3119813,Конструктор SLUBAN Багги 113 деталей M38-B0676,559,359,https://www.detmir.ru/product/index/id/3119813/
3366403,Конструктор BAUER Строительная площадка с автокраном грузовиком 661,1999,1176,https://www.detmir.ru/product/index/id/3366403/
3608778,Конструктор SLUBAN Катюша M38-B0975,1399,769,https://www.detmir.ru/product/index/id/3608778/
3188572,Конструктор SLUBAN Кукольный дом Спальня M38-B0757F,399,99,https://www.detmir.ru/product/index/id/3188572/
2404371,Конструктор SLUBAN Розовая мечта Парикмахерская,1499,749,https://www.detmir.ru/product/index/id/2404371/
772531,Конструктор Десятое королевство для самых маленьких.Мягкие кирпичики (14 дет),1199,493,https://www.detmir.ru/product/index/id/772531/
2003751,Конструктор SLUBAN Сухопутные войска. Танк 2,1889,1299,https://www.detmir.ru/product/index/id/2003751/
2404021,Конструктор SLUBAN Розовая мечта Домик (M38-B0156),1299,899,https://www.detmir.ru/product/index/id/2404021/
2404251,Конструктор SLUBAN Городская серия Автовоз,2599,1799,https://www.detmir.ru/product/index/id/2404251/
2404331,Конструктор SLUBAN Розовая мечта M38-B0519 Фонтан,399,239,https://www.detmir.ru/product/index/id/2404331/
2617701,Миниконструктор SLUBAN Полиция,199,129,https://www.detmir.ru/product/index/id/2617701/
2617721,Миниконструктор SLUBAN Военные,199,129,https://www.detmir.ru/product/index/id/2617721/
2617751,Миниконструктор SLUBAN Транспорт,259,169,https://www.detmir.ru/product/index/id/2617751/
2867781,Конструктор SLUBAN Яхта-люкс,1999,1299,https://www.detmir.ru/product/index/id/2867781/
3050815,Конструктор мягкий Десятое королевство мини 17 элементов 02673,799,399,https://www.detmir.ru/product/index/id/3050815/
3119802,Конструктор SLUBAN Грузовик 2 253 детали M38-B0685,1399,979,https://www.detmir.ru/product/index/id/3119802/
3119803,Конструктор SLUBAN Танк 1 348деталей M38-B0686,1669,1159,https://www.detmir.ru/product/index/id/3119803/
3119804,Конструктор SLUBAN Танк 2 335деталей M38-B0687,1799,1259,https://www.detmir.ru/product/index/id/3119804/
3119808,Конструктор SLUBAN Танк 4 400деталей M38-B0691,1669,1159,https://www.detmir.ru/product/index/id/3119808/
